tweet_id	user_id	db_id	Begin	End	Type	Extracted_span	Tweet	drug	drug_1	Meddra_code	Meddra_LLTerm										
332574327444746240	210777087	baclofen-518bf599ac6ab35b4d48099f	67	73	ADR	sleepy	"@carolewhelan i find the baclofen worse, it has left me in a tired/sleepy fog all day  - the codeine i can (mostly) deal with."	baclofen	baclofen	10041018	sleepy										
332574327444746240	210777087	baclofen-518bf599ac6ab35b4d48099f	60	66	ADR	 tired	"@carolewhelan i find the baclofen worse, it has left me in a tired/sleepy fog all day  - the codeine i can (mostly) deal with."	baclofen	baclofen	10043890	tiredness										
333787466597285888	558304467	baclofen-51905f6cac6ab35b4d483a24	69	75	ADR	gorked	yay mom's giving me baclofen when i get home~ i'll probably still be gorked for my physics final but i kinda don't give a fuck.	baclofen	baclofen	10016322	feeling abnormal										
341469594554359808	45347619	baclofen-51ac51f653787e40790e0ac7	69	73	Indication	Back	@50thingsb450 er!  struggling with diazepam and increased baclofen.  back is obvs still in trouble :(	baclofen	baclofen	1003988	back pain										
341797745549516800	431184255	baclofen-51ad83935378f924d02ef2a9	64	74	Indication	BackSpasms	i took some baclofen and i dont feel a little but drowsy! #wtf #backspasms	baclofen	baclofen	10067893	back muscle spasms										
342052382705844224	10052162	baclofen-51ae70ba5378f924d02efb33	23	47	ADR	make me a bigger asshole	i think baclofen might make me a bigger asshole than usual. :/	baclofen	baclofen	10034719	personality change										
351027118215413761	175142308	baclofen-51cf171953785f584a9ade67	43	54	ADR	can't sleep	"@neph0079@positiveaboutms i take baclofen ""can't sleep! want to sleep!"" help!"	baclofen	baclofen	10011001	sleep loss										
351775750443118594	628102425	baclofen-51d1d05153785f584a9af0e9					pipetting some human plasma into test tubes to be run in the baclofen assay #scienceswag														
352682252943097858	1382119566	baclofen-51d51ca353785f584a9b07c2	114	122	ADR	dry nose	@dystoniasociety i would like to know what everyone else's experience are of baclofen and clonazepam. do they get dry nose / throat?	baclofen	baclofen	10013782	dry nose										
352682252943097858	1382119566	baclofen-51d51ca353785f584a9b07c2	125	131	ADR	throat	@dystoniasociety i would like to know what everyone else's experience are of baclofen and clonazepam. do they get dry nose / throat?	baclofen	baclofen	10013789	dry throat										
333777166175186944	15704836	boniva-519055d4ac6ab35b4d4839c8	49	69	ADR	erectile dysfunction	boniva would've been better properly named as an erectile dysfunction drug.	boniva	boniva	10061461	erectile dysfunction										
333777894822248449	522929554	boniva-51905682ac6ab35b4d4839d1	49	69	ADR	erectile dysfunction	boniva would've been better properly named as an erectile dysfunction drug.	boniva	boniva	10061461	erectile dysfunction										
341332687891611649	271082065	boniva-51abd29553787e40790e07b4	27	36	ADR	halitosis	i'm sorry you have ostrich halitosis @daniellejmoody but that is a side effect of once monthly boniva.	boniva	boniva	10019058	halitosis										
349205952320389120	441387800	boniva-51c8770153785f584a9ab575					@speeeeedbird over your knee? are you sure that's safe w/your osteoporosis &amp; arthritis? should have taken your once a month boniva. #kidding														
350112091623010304	794943356	boniva-51cbc2ea53785f584a9acaed					@rayfierce_ like sally field says... we have this one body and this one life. take boniva														
350027874939580417	54661743	bystolic-51cb74b753785f584a9ac8f6					rt @bizjournalism: rt @propublica: 17 of the top 20 prescribers of blood pressure drug bystolic received speaking fees from its maker. http…														
348973695575937024	335950885	canagliflozin-51c79eb353785f584a9aae05					canagliflozin demonstrates better glycemic control and body weight reduction versus sitagliptin in a 52 weeks clinical study #2013ada														
332341510622302209	1216892089	cipro-518b1cc5ac6ab35b4d47fdec					"cipro tablets are present inward 100 mg, 250 mg, 500 mg, 750 mg baton 1000 mg.:"														
332349014022434817	1200824011	cipro-518b23c2ac6ab35b4d47fe46					the fluoroquinolone syndrome &lt;-have you experienced side effects from taking quinolones antibiotics (e.g. cipro) ?														
332496252136722432	45735030	cipro-518bace2ac6ab35b4d480491					a double shot of africa with a cipro chaser #stomachparty #ethiopiaspring2013														
332546823447248896	83676464	cipro-518bdbfcac6ab35b4d4807b8	102	112	ADR	tendonitis	"@ciproispoison ironically, the pulmonologist i work with told me about his own devastating bout with 'tendonitis' after cipro"	cipro	cipro	10043255	tendonitis										
332990941629657088	16060054	cipro-518d7999ac6ab35b4d481d30					"@_cimmy_ thanks! yes, after i was prescribed cipro a few years ago, and it really messed me up, i am quite wary of broad spectrum ones."														
333022901865431040	22887887	cipro-518d975dac6ab35b4d481e7f					if you talk bad about lebron i hope a thug shoots off your great toe and all the vancomycin and cipro in the world cant cure the infection.														
333278830980648960	323112996	cipro-518e85b8ac6ab35b4d4827b7	127	135	ADR	crippled	@integratemd i sure wish my doctor had told me cipro could disable me for life!  there was never any mention of that.  now i'm crippled.	cipro	cipro	10049278	unable to walk										
333278830980648960	323112996	cipro-518e85b8ac6ab35b4d4827b7	59	66	ADR	disable	@integratemd i sure wish my doctor had told me cipro could disable me for life!  there was never any mention of that.  now i'm crippled.	cipro	cipro	10049278	unable to walk										
333292551715041280	297069073	cipro-518e927fac6ab35b4d482857	52	87	Indication	red n white blood cells in my urine	"@heidita22 @joanjacobs4 dr said i have blood, puss, red n white blood cells in my urine. gave me cipro n told me to see urologist monday"	cipro	cipro	10005643	blood in urine										
333292551715041280	297069073	cipro-518e927fac6ab35b4d482857	39	44	Indication	blood	"@heidita22 @joanjacobs4 dr said i have blood, puss, red n white blood cells in my urine. gave me cipro n told me to see urologist monday"	cipro	cipro	10005604	blood in urine										
333292551715041280	297069073	cipro-518e927fac6ab35b4d482857	46	50	Indication	puss	"@heidita22 @joanjacobs4 dr said i have blood, puss, red n white blood cells in my urine. gave me cipro n told me to see urologist monday"	cipro	cipro	10046544	urinary infection										
333320339683676161	99578276	cipro-518eac60ac6ab35b4d482972					@abdulhabiba hope u are fine now. just finished taking mine also last month. cipro tab and d rest... so i dnt need them again.														
333342169836449794	16060054	cipro-518ec0b5ac6ab35b4d482a45					"@ciproispoison @_cimmy_ i hope you are doing better now. yes, a small dose of cipro a few years ago did get me two or so years of problems."														
333727742677905408	112532974	cipro-519027cdac6ab35b4d4837c9					"@kevinmd even w the best care a patient can die from avandia, vioxx, get kidney failure from cipro or commit suicide on new antidepressants"														
333946677121650688	1189999075	cipro-5190f3b3ac6ab35b4d4840da					the fluoroquinolone syndrome &lt;-have you experienced side effects from taking quinolones antibiotics (e.g. cipro) ?														
334024264187523074	106099582	cipro-51913bf5ac6ad74cd505f133	45	60	ADR	Felt like chemo	"@remiamaka it wasn't an easy victory though. felt like chemo with the cipro. as for the heart, i meant for study purposes."	cipro	cipro	10006784	burning sensation										
340451551766274049	600981465	cipro-51a89de253787e40790df048	23	30	ADR	vampire	@evann_lfc yea still a vampire as still on cipro wbu? xx	cipro	cipro	10022437	insomnia										
340972833150758912	1204982244	cipro-51aa835153787e40790dff3b					the fluoroquinolone syndrome &lt;-have you experienced side effects from taking quinolones antibiotics (e.g. cipro) ?														
341115149723250688	323112996	cipro-51ab07fc53787e40790e02c6	66	75	ADR	Bedridden	"@abittersweet1 cipro destroyed my entire body, from head to toe.  bedridden since 2009.  be very careful."	cipro	cipro	10048948	bedridden										
341115149723250688	323112996	cipro-51ab07fc53787e40790e02c6	21	45	ADR	destroyed my entire body	"@abittersweet1 cipro destroyed my entire body, from head to toe.  bedridden since 2009.  be very careful."	cipro	cipro	10022876	invalid										
341117456472997888	707681815	cipro-51ab0a0253787e40790e02d3					the fluoroquinolone syndrome &lt;-have you experienced side effects from taking quinolones antibiotics (e.g. cipro) ?														
341530146165104641	116942462	cipro-51ac8a5a53787e40790e0bd1	23	41	ADR	"killing""  my tummy"	"this cipro is totally ""killing""  my tummy .. hiks.."	cipro	cipro	10045148	tummy ache										
341688886319271936	70031567	cipro-51ad1e605378f924d02eef20	86	99	ADR	septic c diff	@katelynjoyy the aythromicyn didn't work so i'm back on cipro which is what caused my septic c diff in sept.	cipro	cipro	10054177	clostridium difficile sepsis										
341873958007738369	51028602	cipro-51adcc105378f924d02ef47a	98	110	ADR	gastic upset	"@nichole_lindsey i've had cipro before. luckily for me, the only side fx i tend to get from ab is gastic upset. but i rarely use ab."	cipro	cipro	10046317	upset gastrointestinal										
342303467618062337	1371146184	cipro-51af5a915378f924d02f03c1					the fluoroquinolone syndrome &lt;-have you experienced side effects from taking quinolones antibiotics (e.g. cipro) ?														
342671450496446464	923840822	cipro-51b0b1475378b9555a2ef4f2					@iamhdt i need some lysol.   maybe some cipro.														
342745776985874432	1198051242	cipro-51b0f6ad5378b9555a2ef737					the fluoroquinolone syndrome &lt;-have you experienced side effects from taking quinolones antibiotics (e.g. cipro) ?														
342800591816384512	26043486	cipro-51b1298c5378b9555a2ef850	57	66	ADR	Can't run	day 11 of #rwrunstreak completed. 1.32 miles of walking. can't run even if i could because of cipro. also day 4 of mostly raw was good.	cipro	cipro	10022876	invalid										
343037715899629568	14344729	cipro-51b206635378b9555a2efe2a					"no! i always get cipro before i travel but never had to use it, not even in mexico! mt @johnnyjet: ever call doctor on a trip? #travelskills"														
345241637078847489	320440672	cipro-51ba0af35378b9555a2f2722	33	37	ADR	sick	@shipmom cipro is awful makes me sick as a dog too	cipro	cipro	10016365	feeling sick										
346242584366161920	323112996	cipro-51bdaf275378b9555a2f3804	68	73	ADR	dizzy	@lisabrownphotos consider yourself lucky if all it does is make you dizzy and sick!  cipro crippled me and countless others.	cipro	cipro	10013580	dizzy										
346242584366161920	323112996	cipro-51bdaf275378b9555a2f3804	78	82	ADR	sick	@lisabrownphotos consider yourself lucky if all it does is make you dizzy and sick!  cipro crippled me and countless others.	cipro	cipro	10016365	feeling sick										
346242584366161920	323112996	cipro-51bdaf275378b9555a2f3804	91	99	ADR	crippled	@lisabrownphotos consider yourself lucky if all it does is make you dizzy and sick!  cipro crippled me and countless others.	cipro	cipro	10049278	unable to walk										
346245541790892033	323112996	cipro-51bdb1f45378b9555a2f380b					@quitecoldnight @buzzfeedandrew usps employees who were given cipro ended up crippled by it &amp; filed a class action lawsuit against bayer.														
346640892817465345	757895700	cipro-51bf221b5378b9555a2f3f14	50	62	Indication	tummytrouble	forget diamonds...cipro is a girl's best friend  #tummytrouble #ahafrica	cipro	cipro	10045148	tummy ache										
348135763520667648	49631183	cipro-51c4925653785f584a9a8f1a					"“@joshuagates: tip: my 5 item health kit for distant lands: cipro (gut), z pak (chest), pepto (stomach), purell (germs), advil (hangovers)."														
348135786706780160	49631183	cipro-51c4925653785f584a9a8f1b					"rt @joshuagates: tip: my 5 item health kit for distant lands: cipro (gut), z pak (chest), pepto (stomach), purell (germs), advil (hangovers…"														
348290861785817088	1514383524	cipro-51c522c953785f584a9a9266					the fluoroquinolone syndrome &lt;-have you experienced side effects from taking quinolones antibiotics (e.g. cipro) ?														
348867655698104322	369536707	cipro-51c73c2653785f584a9aaa54					"rt @joshuagates: tip: my 5 item health kit for distant lands: cipro (gut), z pak (chest), pepto (stomach), purell (germs), advil (hangovers…"														
349097733103169536	1190898799	cipro-51c8123853785f584a9ab1f7					the fluoroquinolone syndrome &lt;-have you experienced side effects from taking quinolones antibiotics (e.g. cipro) ?														
349202688950542336	323112996	cipro-51c874ef53785f584a9ab55a	98	106	ADR	CRIPPLED	@theeastmovie thank you so much for getting the message out...wish i could see the film but bayer crippled me with cipro back in 2009!	cipro	cipro	10049278	unable to walk										
349211366210539520	323112996	cipro-51c87c0c53785f584a9ab5af	62	70	ADR	crippled	@dougbremner i wish i'd have found your article sooner! i was crippled by cipro in oct of '09. prescribed for a uti &amp; it didn't even help.	cipro	cipro	10049278	unable to walk										
349211366210539520	323112996	cipro-51c87c0c53785f584a9ab5af	112	115	Indication	UTI	@dougbremner i wish i'd have found your article sooner! i was crippled by cipro in oct of '09. prescribed for a uti &amp; it didn't even help.	cipro	cipro	10046848	UTI										
349427091500040192	1515370748	cipro-51c944f953785f584a9abd42					the fluoroquinolone syndrome &lt;-have you experienced side effects from taking quinolones antibiotics (e.g. cipro) ?														
349785645192982528	495060869	cipro-51ca92e353785f584a9ac471	33	49	ADR	nearly killed me	@ciproispoison you r right cipro nearly killed me	cipro	cipro	10068111	near death experience										
349894611570917376	543272655	cipro-51caf85f53785f584a9ac675					the fluoroquinolone syndrome &lt;-have you experienced side effects from taking quinolones antibiotics (e.g. cipro) ?														
349973245430202369	1503986990	cipro-51cb41a353785f584a9ac83c					the fluoroquinolone syndrome &lt;-have you experienced side effects from taking quinolones antibiotics (e.g. cipro) ?														
350275755235741696	37736362	cipro-51cc5b9153785f584a9ace64	10	18	ADR	allergic	guess i'm allergic to cipro...	cipro	cipro	10001720	allergic reaction to antibiotics										
350850548666335235	1386053330	cipro-51ce72ce53785f584a9ada26					the fluoroquinolone syndrome &lt;-have you experienced side effects from taking quinolones antibiotics (e.g. cipro) ?														
351126697472569344	449157041	cipro-51cf73da53785f584a9ae0da	39	44	ADR	dying	@jkimberlinn im on cypro . actually in dying on cypro	cipro	cipro	10013767	drunk-like effect										
352373166724751360	76887019	cipro-51d3fcf353785f584a9b0016					"@aidenholder23 i am a sun-worshipper - doctor gave me cipro - big warning about sun exposure - blah, blah, blah. screw u i did it anyway!"														
352527328976449537	1383634836	cipro-51d48c5e53785f584a9b0378					the fluoroquinolone syndrome &lt;-have you experienced side effects from taking quinolones antibiotics (e.g. cipro) ?														
352585371273527296	261925087	cipro-51d4c25653785f584a9b04b7					"@echo_jewel it wasn't reacting to bactrim, so stopped in middle of that and doctor switched me to cipro, which i finished totally."														
352869424174342144	41850242	cipro-51d5cae853785f584a9b0c36	83	89	ADR	nausea	so glad to have just finished a course of cipro! fingers crossed i can stay off of nausea inducing meds for the next little while...	cipro	cipro	10028813	nausea										
353912194167087107	376805633	cipro-51d9960953785f584a9b1a51	50	58	ADR	headache	"@mariamelee oof, sympathies. i had a raging cipro headache last week."	cipro	cipro	10019211	headache										
332315258465181697	1143331885	cymbalta-518b0452ac6ab35b4d47fcc0					@sara_robbins522 omg yes. it like depressing i literally need some cymbalta.														
332315635445035009	546151624	cymbalta-518b04acac6ab35b4d47fcc3					"@lonniebeats depression hurts, cymbalta can help lol"														
332480409654943744	42299706	cymbalta-518b9e21ac6ab35b4d4803cd	26	35	ADR	addictive	the cymbalta certainly is addictive &amp; its fda approved...	cymbalta	cymbalta	10012336	dependence addictive										
332529981332807681	755752909	cymbalta-518bcc4cac6ab35b4d4806c6					"depression hurts, cymbalta can help #peace101 #headedhome #summertime @b_black94 @dani_andriani http://t.co/ptw34tyqrz"														
332660233929367552	232694345	cymbalta-518c459bac6ab35b4d480e92	51	61	ADR	withdrawal	@furrowedfox cymbalta is especially weird i’ve had withdrawal quickly from missing a pill	cymbalta	cymbalta	10073281	withdrawal symptom										
332666314952945664	155766727	cymbalta-518c4b44ac6ab35b4d480ee0					"@builtinbc oh i thought cymbalta was a pain med. sorry, that sucks."														
332946951085645824	99207792	cymbalta-518d50a1ac6ab35b4d481b23	67	140	ADR	might notice if I got hit in the crotch w/ a lance in a jousting accident	only change so far since switching from lexapro to cymbalta: now i might notice if i got hit in the crotch w/ a lance in a jousting accident	cymbalta	cymbalta	10024870	loss of libido										
333014107940872193	132127968	cymbalta-518d8f2dac6ab35b4d481e38	54	64	ADR	discomfort	"@nirebryce thanks. there is a nonzero chance that the discomfort i am feeling was caused by going back on cymbalta, possibly too quickly."	cymbalta	cymbalta	10013082	discomfort										
333234626913001472	304418564	cymbalta-518e5c8dac6ab35b4d4825a4					one time i liked a guy and told him i was sad a lot and he told me to take cymbalta and thats why i hate people														
333414603688140800	449457258	cymbalta-518f042aac6ab35b4d482d05					giver her some stress relieving pills. like cymbalta.														
333424999757131776	232694345	cymbalta-518f0dd9ac6ab35b4d482d67	21	40	ADR	Stress Incontinence	cymbalta tore up our stress incontinence agreement first!  it’s like niagara falls when i cough.	cymbalta	cymbalta	10042213	stress incontinence										
333424999757131776	232694345	cymbalta-518f0dd9ac6ab35b4d482d67	62	94	ADR	 like Niagara Falls when I cough	cymbalta tore up our stress incontinence agreement first!  it’s like niagara falls when i cough.	cymbalta	cymbalta	10046543	urinary incontinence										
333600785923461120	85205180	cymbalta-518fb190ac6ab35b4d48330a	100	111	ADR	no appetite	woke up to breakfast in bed...well couch because i'm addicted to the new 3d wifi tv. too bad i have no appetite. thanks cymbalta.	cymbalta	cymbalta	10003017	appetite absent										
333708855701803010	21719350	cymbalta-51901635ac6ab35b4d483729	68	84	ADR	could not orgasm	@liver_bird_87 @miztinkerbella when i was on cymbalta and visanne i could not orgasm at all!!!	cymbalta	cymbalta	10021574	inablity to orgasm										
333813682196848640	54329315	cymbalta-519077d6ac6ab35b4d483b0a					aw what's up with your name ? you feel lonely or alone . ? cymbalta could cute depression it's okay. @criss_staystrue @leslieee04														
333938862600634370	139263879	cymbalta-5190ec6cac6ab35b4d484077	131	142	ADR	withdrawals	"@herodfel @amelia_draws @scribble_dragon it's very tough. i understand, &amp; you have my full sympathy. how did you find cymbalta withdrawals?"	cymbalta	cymbalta	10073281	withdrawal symptom										
333946994143920130	1096744752	cymbalta-5190f3ffac6ab35b4d4840df					@branden_koerner you know... theres a type medician out there that helps with your depression... cymbalta can help..														
333998630220476418	12602362	cymbalta-51912415ac6ab35b4d4843ac	115	139	ADR	raised my blood pressure	@jameetmiller i didn't have side effects when i started taking cymbalta. after about 6 mths had to stop because it raised my blood pressure.	cymbalta	cymbalta	10005755	blood pressure raised										
336979338668933120	65223509	cymbalta-519bfc15ac6af7f8f08011ee					@_mybitchsloveme: depression hurts. cymbalta can help.cracking the fuck up!!!!														
336987398091182080	842275531	cymbalta-519c03fdac6af7f8f0801215					depression hurts :( cymbalta can help (:														
339926647274893312	21368921	cymbalta-51a6b4fd5378d08eec90706e					"possible cymbalta side effects include: asshole falls out, and/or morph into a preying mantis. ask your dr. if cymbalta is right for you."														
339984691631362052	43051327	cymbalta-51a6eb215378d08eec90720c					"slow down, you sound like the end of a cymbalta commercial. #ad4"														
340258151511248896	129358632	cymbalta-51a7e9b753787e40790deac3	59	62	ADR	nap	"depression hurts, cymbalta can help? no way! i just took a nap for the first time in years probably and wowza! what sorcery is this?!"	cymbalta	cymbalta	10011865	daytime sleepiness										
340325837712801792	118584475	cymbalta-51a8298e53787e40790ded10					twitter induced depression ask ur dr if cymbalta is right fa u														
340335834429538304	945138277	cymbalta-51a8321153787e40790ded59					need some cymbalta up in this place														
340360304531734529	60107522	cymbalta-51a8493353787e40790dedfa	74	86	ADR	constipation	"cymbalta is legal, an antidepressant.....side effects: nausea, dry mouth, constipation, diarrhea, fatigue, &amp; thoughts of suicide"	cymbalta	cymbalta	10010774	constipation										
340360304531734529	60107522	cymbalta-51a8493353787e40790dedfa	22	36	Indication	antidepressant	"cymbalta is legal, an antidepressant.....side effects: nausea, dry mouth, constipation, diarrhea, fatigue, &amp; thoughts of suicide"	cymbalta	cymbalta	10012378	depression										
340360304531734529	60107522	cymbalta-51a8493353787e40790dedfa	88	96	ADR	diarrhea	"cymbalta is legal, an antidepressant.....side effects: nausea, dry mouth, constipation, diarrhea, fatigue, &amp; thoughts of suicide"	cymbalta	cymbalta	10012727	diarrhea										
340360304531734529	60107522	cymbalta-51a8493353787e40790dedfa	63	72	ADR	dry mouth	"cymbalta is legal, an antidepressant.....side effects: nausea, dry mouth, constipation, diarrhea, fatigue, &amp; thoughts of suicide"	cymbalta	cymbalta	10013781	dry mouth										
340360304531734529	60107522	cymbalta-51a8493353787e40790dedfa	98	105	ADR	fatigue	"cymbalta is legal, an antidepressant.....side effects: nausea, dry mouth, constipation, diarrhea, fatigue, &amp; thoughts of suicide"	cymbalta	cymbalta	10016256	fatigue										
340360304531734529	60107522	cymbalta-51a8493353787e40790dedfa	55	61	ADR	nausea	"cymbalta is legal, an antidepressant.....side effects: nausea, dry mouth, constipation, diarrhea, fatigue, &amp; thoughts of suicide"	cymbalta	cymbalta	10028813	nausea										
340360304531734529	60107522	cymbalta-51a8493353787e40790dedfa	113	132	ADR	THOUGHTS OF SUICIDE	"cymbalta is legal, an antidepressant.....side effects: nausea, dry mouth, constipation, diarrhea, fatigue, &amp; thoughts of suicide"	cymbalta	cymbalta	10042458	suicidal ideation										
340664476233777153	509189988	cymbalta-51a9642353787e40790df7a1					"depression hurts, cymbalta can help"														
340686873942966273	238286010	cymbalta-51a978ff53787e40790df827	36	45	ADR	miserable	"fact: if cymbalta didn't make me so miserable, i'd go back on it. i was the cooliest on cymbalta!"	cymbalta	cymbalta	10016342	feeling miserable										
340694457827618816	275355552	cymbalta-51a9802653787e40790df84e	9	19	ADR	withdrawal	cymbalta withdrawal &lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;	cymbalta	cymbalta	10073281	withdrawal symptom										
340713965795549185	484252027	cymbalta-51a9924253787e40790df8d2					"“@janokie_: depression hurts, cymbalta can help...”thanks janelle"														
340811627488239616	24887443	cymbalta-51a9ed2f53787e40790dfb1d	57	62	ADR	tired	you woukd think going off of cymbalta would make me less tired...but nope...-_-	cymbalta	cymbalta	10043890	tiredness										
340971326019891201	244969221	cymbalta-51aa81e953787e40790dff2d					depression hurts... cymbalta can help @shannongaghan														
341019565746188288	232905512	cymbalta-51aaaed753787e40790e00a3					@asherbo dude.  give her some cymbalta or something. pipe down there hot shot.														
341071855941210112	396383429	cymbalta-51aadfbd53787e40790e020a					depression hurts. cymbalta can help.														
341215457975607296	34826212	cymbalta-51ab654753787e40790e0495	41	51	ADR	exhausting	coming off of cymbalta has been the most exhausting experience. and it isn't even over :(	cymbalta	cymbalta	10015567	exhaustion										
341309981833981952	244756359	cymbalta-51abbd5053787e40790e0709					"depression hurts, cymbalta can help http://t.co/izkmfhudi1"														
341351963583201282	51879246	cymbalta-51abe47553787e40790e081c	75	87	ADR	slept 10 hrs	ok i've got a med ? anyone ever tried cymbalta?? my doc put me on it but i slept 10 hrs straight!!	cymbalta	cymbalta	10041000	sleep excessive										
341361144008679425	368523474	cymbalta-51abecf653787e40790e085f					"depression hurts, cymbalta can help."														
341590362873294848	141756010	cymbalta-51acc2b253787e40790e0d5e					cymbalta is used for way too many things how does no one see that as a problem														
341605367261839362	1392292796	cymbalta-51acd06a53784695b04bff84					depression hurts cymbalta can help @friddaa_ @carleynimmo @elaineparraga														
341683572463259649	71072973	cymbalta-51ad193f5378f924d02eeef3	46	68	ADR	heart started lurching	"@almostwell my blood pressure is fine, but my heart started lurching two weeks ago. savella didn't work for me, yeah. cymbalta rules!"	cymbalta	cymbalta	10019323	heartbeats irregular										
341684250581532672	293191460	cymbalta-51ad19f75378f924d02eeefc					@polianarchy savella was approved for something crohn's related. i don't know about cymbalta.														
341704235118895104	91875614	cymbalta-51ad2c7d5378f924d02eefad	0	25	ADR	Coming off cymbalta SUCKS	"coming off cymbalta sucks, i've been slowly cutting back for the past 3 months. have finally made it over a weeks since i have taken it."	cymbalta	cymbalta	10048010	withdrawal syndrome										
341716391025577984	272462752	cymbalta-51ad37cf5378f924d02ef015					do not take cymbalta if you breath - stollen from tay														
341757671277465603	171707155	cymbalta-51ad5e595378f924d02ef168	43	53	Indication	depression	i need some cymbalta cause i'm feelin this depression?	cymbalta	cymbalta	10012378	depression										
341774885535752192	22786329	cymbalta-51ad6e495378f924d02ef1f5					"how did i miss this gem the first time through ad season 4? ""you sound like the end of a cymbalta commercial."""														
341953288285061121	586052352	cymbalta-51ae14705378f924d02ef70b	30	55	ADR	Getting off of it is HELL	do not ever get on cymbalta.  getting off of it is hell!	cymbalta	cymbalta	10048010	withdrawal syndrome										
341957566328369152	304741970	cymbalta-51ae186b5378f924d02ef749					"still recovering from last night loss. depression hurts, cymbalta can help. go pacers!! #pacenation #whataseason"														
342015143728783360	378908801	cymbalta-51ae4e255378f924d02ef996					"lmao“@dedemarieex3: #myboyfriendnotallowedto ""vent"" to other female ? wtf she aint dr.phil nor a therapist ? depressed ? get cymbalta.”"														
342108046559952898	319192856	cymbalta-51aea4915378f924d02efd07					"if james blake embodies depression, which artist is cymbalta?"														
342117282585133056	1110475417	cymbalta-51aead545378f924d02efd7c	86	94	ADR	migraine	"@upasbook great read as always. i was on cymbalta for 5 days. cold turkey had sweats, migraine, tremors while on &amp; 3 days after."	cymbalta	cymbalta	10027599	migraine										
342117282585133056	1110475417	cymbalta-51aead545378f924d02efd7c	78	84	ADR	sweats	"@upasbook great read as always. i was on cymbalta for 5 days. cold turkey had sweats, migraine, tremors while on &amp; 3 days after."	cymbalta	cymbalta	10042661	sweating										
342117282585133056	1110475417	cymbalta-51aead545378f924d02efd7c	96	103	ADR	tremors	"@upasbook great read as always. i was on cymbalta for 5 days. cold turkey had sweats, migraine, tremors while on &amp; 3 days after."	cymbalta	cymbalta	10044565	tremor										
342130590973296640	1478749124	cymbalta-51aeb9a05378f924d02efe16					"slow down, you sound like the end of a cymbalta commercial. - lucille bluth"														
342473302343831552	83715793	cymbalta-51aff8e25378b9555a2ef0e3	91	100	ADR	interacts	@blackloislane i was on cymbalta for over a year. in the process of quitting it because it interacts badly with my testosterone blockers.	cymbalta	cymbalta	10013710	drug interaction										
342473302343831552	83715793	cymbalta-51aff8e25378b9555a2ef0e3	115	136	Drug	testosterone blockers	@blackloislane i was on cymbalta for over a year. in the process of quitting it because it interacts badly with my testosterone blockers.	cymbalta	cymbalta												
342560740818948096	170878649	cymbalta-51b04a2c5378b9555a2ef2a2	75	115	ADR	feels like the Sahara desert in my mouth	cymbalta makes me thirsty to the point where my mouth is painfully dry. it feels like the sahara desert in my mouth.	cymbalta	cymbalta	10013781	dry mouth										
