Column1,Column2,Column3,Column4
3.53213E+17,599598484,0,@britlee_harp cipro??? I just had the same issues when I was on it last week...no fun!!!
3.47467E+17,36802655,0,"@Britni_Rose I don't even know if the Paroxetine is helping anymore. I want to be on Xanax, but my grandma is basically telling me no."
3.40312E+17,77267637,0,@BRM This is RIGHT way 2C movies. The hysteria of moment plays n2 marketing & craven need 4 crix consensus. Time is a fresh mint lozenge.
3.53357E+17,1525490534,0,@BruceEricKaplan @JuddApatow is this an ad for Paxil?
3.47114E+17,136798873,0,"@BurberryWife Sorry you can't do camp this year, that sucks! I hope ur meds get squared away & Lamictal works 4 u. Am the same here"
3.52739E+17,257630982,0,@cantseh @realioRD @IanHough I'm the same. I find the nearest chemist and get loads of Ciprofloxacin in as soon as we've landed.
3.49191E+17,375110726,0,@CCFA pooped out bc i did humira last night :)
3.43095E+17,24486519,0,"@chroniccurve Also I just saw a Humira commercial with a 35 year old mom baking, brushing teeth, and playing w/ kids - they're listening!"
3.45563E+17,1351058880,0,@chronicpainteen i would also love 2 get to 50 followers 2nite i'm @ 49..pls help... #crohns #humira #TEAMIBD
3.40261E+17,61271528,0,@chubachups it was mega hard. Glad on the up now. Had to agree wiv doc that i went on prozac cus that womem.sucked me.dry until o cracked x
3.48769E+17,324260426,0,@CilemaSnob @SukanyaVerma levofloxacin once dailyyyyyyyyyy
3.42325E+17,388406721,0,@crescentcolours I remember that quetiapine feeling well x
3.32866E+17,25173368,0,@crimefish @EverydayAbleism I'm on Quetiapine so can't make early mornings. Oncology give me midday. Why can't ATOS and my psychiatrist? Xx
3.43719E+17,71475416,0,@DanieTreg time for quetiapine!
3.46481E+17,319534713,0,@DarkRazorZ I started taking Lexapro but they couldn't give me Seroquel so I have to start taking it tomorrow
3.5384E+17,323112996,1,@david82wilkins @CFAware Neither of you appear to be aware that Cipro can cripple otherwise healthy people...doctor fail to mention that?
3.51308E+17,492168041,0,"@david82wilkins Yes definitely ask the doctors then next time, but cipro is a super drug :-)"
3.41735E+17,1746811,0,"@dershep Robax stopped working for me. I had to go to prescription meds, Baclofen."
3.47811E+17,771455,0,"@diannaeanderson High five! Effexor and therapy have helped with my functioning, my productivity, and at times with my not being dead."
3.33481E+17,1232043535,0,"@dinodjdd Depression hurts, will Cymbalta help?"
3.40332E+17,1447277893,0,@DoctorBlueDream and when I came off Prozac the cycling started again. I would go from being down to being extremely manic and evil >>
3.52739E+17,19076408,0,@dollydaydream53 Same with me Dolly #RA #Humira
3.47246E+17,19162446,0,@downunderchick You need seroquel. I have some if you want ;)
3.47757E+17,16037330,0,"@DrBHealth Of course I still have flare-ups; however, I'd say that Enbrel & prednisone are really helping."
3.40779E+17,498294115,0,@drdavidsamadi saw this on FOX while in ER for diagnosis: Pyelonephritis Side Question~Why are Flomax &Ciprofloxacin a DD interact flag?
3.41373E+17,233358828,0,"@DrJenGunter T3 Many drugs (eg Cymbalta) already approved 4 use in other dxs, but comp's want add'l approval so they can advertise it #hcsm"
3.49207E+17,323112996,0,"@DrugPatentWatch Just what the world needs! More forms of Cipro. How many lives will be destroyed by this one??? Bayer ""Healthcare"" LOL!!!"
3.48888E+17,59846819,0,@dsymons I haven't tried Plaquenil since college. Plus it was before biologics came out. This inspires me to reconsider it w/Enbrel. #rheum
3.30278E+17,273421529,0,@ellaboheme I'll be on 600mg of Quetiapine for the next 5 nights. I might never wake up again! X
3.32798E+17,273421529,0,"@ellaboheme I'm off Quetiapine! Now on, shit I can't remember what is called!! @grhydian knows!! X"
3.3181E+17,8127862,0,@elledub_1920 I can't take trazodone anymore cause I'm up with the baby every few hours. right now I'm mostly concerned with my stress level
3.4133E+17,792415484,0,"@EpilepsySucksUK Oxcarbazepine, lamotrigine & midazolam to control the different types, atonic, tonic clonic (rarely), focal & aura types :("
3.47621E+17,771109718,0,"@EricKyrie_3 WTF NIGGA.. Go get some rest brutha, feeling like you popped a Seroquel. Lol"
3.52253E+17,20637300,0,@erincandy I live with it daily...I take Paxil
3.40442E+17,400967946,0,"@ESevier I screamed out loud at the doctor's & began singing ""A Sorta Fairytale"". CC: @kawaii_xo Now they are trying to give me Prozac."
3.33283E+17,20462538,0,"@ETPC1 all anti depressants have a chance of that happening, I don't think Paxil is much higher."
3.44246E+17,473179284,0,@ETtube Ah good. I thought you suggested dabigatran patients need ASA. Threw me for a loop.
3.40452E+17,600981465,1,@evann_lfc yea still a vampire as still on cipro wbu? Xx
3.40556E+17,471168050,0,"@fa5rano al7een fhmt ""@UberFacts: Bananas contain a natural chemical that can make a person happy - The same chemical found in Prozac."""
3.32982E+17,16779378,0,"@fabsternation Sorry Fab, I can offer some Fluoxetine (Prozac), if that is any help?"
3.48453E+17,1007575374,0,"@FearLoathingBTX V concerned about how liberally Seroquel is used for sleep, etc. Should be used with caution, if at all."
3.4914E+17,245484569,0,@FerryCorsten @FerryCorstenCC #ListenersChoice #CorstensCountdown 313 Zehavi & Rand - Paroxetine (Majera Remix) Hopefully not played :D
3.33314E+17,370801289,0,@fibro_360 have BCBS dont cover cymbalta or lunesta. I take savella $75 copay.
3.48921E+17,161729720,0,@flyjetwayne i on 2 steroid types at mo. 4wks of metronidazole. drug called Thioguanine & awaiting humira to be added to combo lol #druggie
3.45577E+17,23034970,1,"@fragileannie @meilufay I tried Baclofen, another common muscle relaxer, and had too many side-effects from it, including worsening pain."
3.44653E+17,437800625,0,@FUCKIPEDIA a throat lozenge
3.33032E+17,301055140,0,"@Get_Out_MyFace It was actually me. PLOT TWIST!!! Now text me back, or I will go into a depression that even cymbalta can't fix"
3.44267E+17,30019198,0,"@gkygirlengineer ""Cymbalta: You're gonna like the way it..err...you look."""
3.50667E+17,19424746,1,@Glass1ncision -nods- My zombie-ness when I first wake up in the morning is mostly from my nightly meds too (Seroquel).
3.45785E+17,518027987,0,"@glennbeck @Munster1981 Yes, you need something much stronger, Effexor?"
3.45391E+17,1187577733,1,"@Glinda_R @SpooniesCouch Cymbalta withdrawal is getting top billing at the moment, however. Ugh! xx"
3.40267E+17,429029074,0,@Greasy_Tom gotta do it. #nicotine
3.42137E+17,1196339695,0,@HannaBec @catdragin *buts in* Sounds to me like U need a shot of Rocephin & 10 days of oral Levaquin. Better if they cultured it. JMHO
3.45859E+17,416497917,0,@hannah_d0n don't stop taking your meds! They do really help you! You still on fluoxetine? Please try to stay positive xx
3.44359E+17,31061240,0,@HauteCraigture lemme suck the seroquel residue off your fingertips
3.44356E+17,776929405,0,@HauteCraigture lemme suck the seroquel residue off your fingertips
3.45285E+17,456705802,0,@hayleyh79 @PArthritis wow theyre switching me from 8 tabs to injections... Cant get Humira here unless the Welsh Gov say yes lol ....
3.36974E+17,283651643,1,"@HDAwareness cause UCD sayed I had Huntington's disease for like 8 yrs, then said high dose zyprexa caused a false diagnosis. I think I have"
3.49678E+17,15891806,0,"@hedonism_bot promethazine, they're an atihistamine so I get less of the horrible side effects of quetiapine"
3.42025E+17,1141576088,0,@heidi_viljoen ....i know....i think the world needs a little prozac in the drinking water...:-)
3.32802E+17,273421529,0,"@IamCarrieeeeee what an arsehole! I'm off Quetiapine and on Lamotrigine, I'm so fucking happy* :) *hypomanic"
3.32367E+17,302916920,1,"@illtreaturite1 Fluox a friend 4 years, but switch to cymbalta 4 anti-depress/pain control. I OCD worry. Can't stop running mind"
3.43109E+17,16980051,0,@incurablehippie I rarely see paroxetine used now but venlafaxine is quite prevalent.
3.4199E+17,40519934,0,@IntervalThinks @newscientist Give them Prozac - not!
3.49295E+17,149749939,0,"@IntuitiveGal1 ok, if you stopped taking the Lamictal, give 90mg a week."
3.4962E+17,566294953,0,"@iron_mans_hoe ohhh, fluoxetine won't help for that ffs they're such idiots"
3.41371E+17,25666906,0,@ItsChelseaJane Lots & lots of honey!!! Or your fav throat lozenge if its past honey zone :( Hope it's ALL better SUPER soon xx
3.41978E+17,29030259,0,@itsmeh8 Trazodone is sometimes prescribed for sleep :)
3.41122E+17,323112996,1,@Jakefletcha @Becki_65roses Cipro is real bad on your entire body! Take it from me (on disability since '09 thanks to just 12 pills).
3.33999E+17,12602362,1,@JameeTMiller I didn't have side effects when I started taking Cymbalta. After about 6 mths had to stop because it raised my blood pressure.
3.32376E+17,19741858,0,"@janhopis no, I was (and am) on venlafaxine. I have a non-problematic heart arrhythmia, so I guess that's when it's problematic..."
3.42133E+17,131257636,0,"@Jenndola If you're on brand lamictal, I know they have one, and Abilify too."
3.42985E+17,373577359,1,"@JessBarrett227 Taking someone off 150mg off Seroquel, mixing it with Olanzapine in 2 wks causes psychosis - a proper assess was not done."
3.45504E+17,304889400,0,@jessovenden Or Quetiapine as my psychiatrist calls it. Itâ€™s 1 of the things Iâ€™m on
3.42116E+17,568877122,0,@jimcallisBA @texanfan2785 what college kid isn't on that or Vyvanse
3.45437E+17,30256016,1,@Joanne__Howe enbrel is a miracle but it made my eyes worse :( so couldn't have it anymore :(
3.28526E+17,16782082,0,@joesimpson475 @major___tom In my humble opinion the only reason for prescribing olanzapine is sedation.
3.40236E+17,306322436,0,"@JoshCollett13 @Rods_10 I can get you anything, you need weed, you need Prozac- I know how you white boys get depress, smile your white!"
3.49306E+17,223030803,0,@JoshtheSandwich DONT I KNOW IT bro! Now instead of smoking i pop a lozenge n bust a hole in the wall....same feeling of release.
3.4812E+17,115599286,1,@joshuagates You forgot the immodium for when the Cipro kills all the good bacteria. :) #travelskills
3.31581E+17,48027092,0,@Joyster2012 It's not considered a good idea to take valerian with venlafaxine (which I'm on) sadly.
3.4142E+17,349934712,0,@jrod6595 depression hurts cymbalta can help
3.41705E+17,335921277,0,@JudyMWalters The Humira is good. Less side effects for me. The Remicade stopped being effective after a few years.
3.48934E+17,1122698912,1,"@Justjeffpls Seroquel can cause high blood sugars, talk to your Dr. exercise everyday. Lose weight. If U have type 1, ask someone else"
3.42193E+17,513840286,0,@K_Mowers mdd or bipolar for me too. Had 1 serious episode of mania. Depressed all the other time. Effexor is really working for me now.
3.31163E+17,29436779,0,@kastel na G my 5HT levels are good just need a dopamine rush gonna pop me a Bupropion or a Venlafaxine. Want some yeh
3.43677E+17,985152487,0,@KatyWeaver yayyy Katy hope it works ..you can have one of my Humira stickers if you like. 50 H and 50 Van stickers from Healthcare at Home
3.49174E+17,19032229,0,"@KellyRawlings so interesting!! Any mention of meds like Symlin, victoza and their impact on lag times, post meal hypers?"
3.4714E+17,161729720,0,"@Kirkby007 had crap day. Had scope, but had to be stopped as am severely ulcerated. Going back on humira to combo with new drug i on. &"
3.42692E+17,1460971,0,@Kirkby007 I believe that one is Tysabri. I was told same about Humira and cimzia so not sure what will happen.
3.45688E+17,1117475732,0,@KJRoSFo Meh talking is lame #lamotrigine
3.44851E+17,626092844,0,@kystikata Puts a lozenge in my mouth and feeds it to you BY KISSING YOU
3.45359E+17,955887936,0,@kytela_XoXo @RK_Zapp hahahah I just saw a cymbalta commercial! #misscoachschertz
3.42328E+17,1351058880,0,@ladyleyli well there are the biologics out there for example #remiccade or #humira which i'm on
3.39707E+17,241617891,0,"@larrymeath very well done!! I'm still on my e-fag, down to the lowest nicotine level now x"
3.466E+17,497848983,0,@LawrenceMorley @SimranPharar oh how lovely Lozenge you'll look captivating
3.3166E+17,182111018,0,"@liseed Trazodone doesnt work for me. I wish it did. I swear I need a propofol drip, lol. #hateInsomnia"
3.5102E+17,629790491,0,@lobeline @mikedelic yeah I hear you. I'm currently on seroquel too for my most intense crazy (I can tell you so many stories)
3.2884E+17,165499476,0,"@MaggieCMCheung haha. Your geekiness is contagious, I must resist. No. But yeah, perhaps an SSRI. Fluoxetine? Side effects aren't great..."
3.41322E+17,339070356,0,"@mannisandhu it's always better to have a lozenge with the medication, coats the back of your throat. #BootsEmployee."
3.29264E+17,147475372,0,@ManuraNanayakka Fluoxetine is not good. It has a lot of side effects. I think counselling is better in helping people with depression.
3.49573E+17,364397125,0,"@MargoJMilne Yes, I remember some clients having botox for spasms, but usually baclofen or some such."
3.5384E+17,323112996,0,@marionjross Cipro is just as bad! Stay away from fluoroquinolones if at all possible. They're trouble waiting to happen.
3.31819E+17,80900653,0,"@mavisMacCruet Mavis, may I recommend 60mg of fluoxetine daily to help with your obsessive compulsive disorder?? #McCann"
3.40257E+17,185095626,0,@meghaanc we need Starbucks patches like nicotine ones lol
3.41402E+17,1109344597,0,"@mirandafields32 depression hurts, cymbalta can help"
3.4243E+17,188752950,0,@missdelicacy it was mr.cipro lmao for test prep
3.40654E+17,1382723923,0,@MJIsWithMe Ambien is a sleeping pill. I take Ambien CR and also Seroquel for sleep. They work.
3.52464E+17,299239981,0,@mjseres doing great. Stopped Humira 6 weeks ago. Patient driving dr. So much better off it. Best in years! Be well.
3.40328E+17,494325849,0,"@mrnick was getting out of control. I had no idea that coming off it would be so awful. Other than Paroxetine, I thought SSRIs were easy"
3.4026E+17,80262684,0,@mrrajatkapoor take up running mate and the thought won't cross u again! It releases the same hormones as nicotine
3.42184E+17,1338060397,0,@MS_Hippie21 just on vyvanse and bored lol
3.46591E+17,14346304,0,@muemong @CardiopulmRN she keeps this yelling and shit up she's getting IM geodon. #idontfuckaround
3.50057E+17,299398022,0,@nachoswithsalsa Both are still profitable. Invokana is a good drug. 1st in class.
3.50064E+17,299398022,0,"@nachoswithsalsa buy $JNJ, it has a great drug in Invokana."
3.42406E+17,627981363,0,@NEJM eager to see implications of PCR vs seropositive testing and natalizumab
3.27383E+17,94083901,0,"@NellFrizzell @eleanormorgan Oh god. She needs a daily dose of 37.5 mg of venlafaxine for two weeks, administered orally not a word ellie."
3.42708E+17,56724832,1,@neomoms I had been blaming my dizziness upon standing to my menopause but now on HRT & no more flashes so looked at cymbalta side effs
3.42024E+17,14327715,1,"@neurobonkers also, ""meth mouth"" is really poverty mouth. u don't c when people take it for ADHD. nor in Prozac, which similarly dries mouth"
3.48412E+17,28344264,0,"@notquitereal Oh, really? That's what gave me the terrible reaction. My current doctor told me he'd almost never prescribe fluoxetine."
3.32794E+17,494325849,0,@nuttylotte Exactly. Although the Lamotrigine is apparently to help prevent future episodes of depression & the plan was to reduce my
3.30441E+17,405854637,0,@Ollerspure They call me dr fluoxetine amongst other things
3.32455E+17,273421529,0,@Pani_Bufetowa Lamotrigine. Do you know it?
3.4118E+17,20439615,0,"@phumlanimfeka but none of them are registered with CIPRO, ot can be found online except for your who's who entry? @ulrik_s"
3.30288E+17,16005380,0,@pillowfort -high fives- fluoxetine is my jam.
3.5033E+17,1294722690,0,"@pippaliciousj @mamasick I'm going through the same, it's so hard isn't it! Glad to hear about duloxetine .. Started mine a week ago!"
3.51141E+17,322964923,0,@Pitcrewprincess my husband takes lamotrigine and kepra twice a day.
3.41642E+17,98027634,0,@pueblokc how's your Crohn's? I'm back on remicade and pentasa after failing at humira and cimzia
3.32968E+17,287279272,0,"@purplepersonage I understand. And there's always the quetiapine excuse too. It's a real side-effect, but I also use it to soothe my guilt."
3.41974E+17,296529265,0,@RA_Guy congrats!!! what has worked??? I am same now with Humira. No pain AFTER walking either and can turn over in bed without pain!
3.54352E+17,104108492,0,@Rachs_charlie has it reduced your seizures!? Am on keppra and vimpat full doses of both and still have 3-7 seizures a week.
3.40361E+17,830185352,0,@RaeeLovesJays: I wanna stop smoking so bad nicotine feen
3.5139E+17,324601283,0,"@rawarrior have had no response on double and triple treatments. Have exhausted humors, enbrel, and now on this. Recently taken out of work"
3.42271E+17,704887820,0,"@rbiom fair enough mate, I'd never heard lozenge before haha"
3.4311E+17,514927765,0,"@RecoveryDiaries yepp im on fluoxetine and i still drink, i hit a bit of a low a couple of days later..but tend to be okay"
3.47665E+17,624712647,0,@rfdsdoc @Damian_Roland Olanzapine being added to policy at @alderheykids - awaiting approval from medicines management (so not incl here)
3.43471E+17,847268796,0,"@rfdsdoc @traumagasdoc @richardbogle @MDaware @PharmERToxGuy @umanamd esmolol to see if BP will tol, then metoprolol"
3.51702E+17,18847944,0,@samledabb i need paroxetine 40mg but I rang the doctor and can get 20mg tomorrow and another box of 20mg thurs so will cling to these!
3.4447E+17,47189853,1,"@sapphire20 to it, and now I'm on Humira with just the bloat to battle. Things sometimes get super shitty in every sense. But stay strong xx"
3.5146E+17,339733380,0,@Sarahdgaf13 which one is it? I'm starting humira for the second time
3.40293E+17,229319384,0,"@SassyPharmD Zyprexa and Risperdal work best from my exp, Ability is junk and Geodon marginal but qt prol is issue & metab sx"
3.48571E+17,29126755,0,@scoblitz Have you tried Costco pharmacy? Don't need to be a member & their drugs are insanely cheap. Kid's Lamictal $700 CVS = $23 Costco
3.50949E+17,275035206,0,@scottf51 oh! I haven't noticed mine doing that - I have mine set daily for Victoza pm - ill have to watch that then!
3.4745E+17,623487139,0,@scottgal OK. Hope they help. Prozac/Fluoxetine seems to be prescribed for so many forms of depression.
3.33182E+17,193278438,0,"@Sessahhh Before Lamictal, I was writing ~2k an hour. Post Lamictal, I was lucky for 200 and still seized after just a few sentences."
3.49697E+17,1140424723,0,"@SeteMTL2012 ha I'm on Tysabri now, that with physio , gentle excersise and rest is liquid gold !!!!"
3.28202E+17,87967803,0,@Shell_568 Aye and the kennel's called Fluoxetine!
3.49085E+17,135627441,1,"@Shellyfanelly I was on #azathioprine for about 8 years, it worked well, now on #Humira instead though which is knocking me about"
3.44938E+17,1436476316,0,"@SickLittleDoll seriously i don't find fluoxetine works for me, so i'm getting something stronger soon:)"
3.54208E+17,625348364,0,@siphohotstix I hv a TV show idea which company do I register my rights with? Cipro etc @siphohotstix
3.48202E+17,802172738,0,"@SirVishyVish Keyword: traces. The nicotine patch, gum, and lozenge all have traces of contaminants."
3.41948E+17,90304006,1,@skernandez because I realized Vyvanse after a certain time of taking it increased my anxiety and made me more irrational.
3.41948E+17,90304006,0,@skernandez you take vyvanse? I was on that stuff for like 5 years. 70mg. but a few months ago I switched to adderall 30mg
3.29589E+17,484999413,0,@skinny_the_minx I'm on fluoxetine. Hm :( hope you feel better soon lovely!! Have you got quite a stressful job? X
3.46482E+17,138795534,0,"@SKRDad I get pretty excited about my Humira shots, too. Not weird at all (or maybe I'm weird, too. Hard to say)"
3.51966E+17,256413850,0,@Snuff_Smith at the moment I'm on 15mg of pristiq 100 morn 50 at night to try and stop the nightmares.
3.41764E+17,69537786,0,@Socalmegan Xarelto. Just started tonight! @alarielle3
3.48888E+17,1009724636,0,@SocialMediaShan @dsymons I used it with Enbrel and am in remission now. Now my mission is to try to help others the best that I can.
3.45115E+17,18628014,0,@spacecowboy2014 I inject Enbrel once a week which helps xx
3.32459E+17,88166476,1,"@SpicyNyx fluoxetine and quet combo zombified me...ah, the meds merrygoround #bipolar"
3.45344E+17,563241360,0,@St_Jimmy_77 That's not good :/ I really hope the Fluoxetine works out for you :)
3.51132E+17,394230266,0,"@StacyLynn624 @MelADavis - ""One is too many!"" Oh the melodrama. GOP silent on death penalty, Iraq war, Paxil deaths, ad nauseum. #txlege"
3.47688E+17,43921184,0,@staytiny lozenge shaped arrowheads. Canâ€™t wait to go see that. And get in the giftshop. #fullchainmailoutfitplease
3.44621E+17,136798873,0,@susanhasas What is DHE - is that another term for Humira? Wow. Glad that helped your migraine!
3.42477E+17,1460971,0,@Sydney_Ranae yeah its a biological. Like Humira and cimzia. Remicade wasn't doin much. Cimzia is next.. Well see
3.41116E+17,323112996,1,@teepeewest Did you get floxed too? I've been in bed since 2009 thanks to just 12 Cipro pills! They never told me this can be permanent!!!
3.28899E+17,279100904,0,@The_Firkins trazodone is a sleeping pill
3.48901E+17,1077262537,0,"@TheAntiMyth @CrossFitChemist unexpected and potentially problematic-others like ciprofloxacin increase BC levels, causing more side effects"
3.467E+17,22493928,0,@thebeecharmer97 @danadelany those r common bacteria species causing sinusitis so if no improvement will need Avelox or Levaquin. :)
3.48978E+17,362214639,0,"@TheCoffeeKlatch Like Lamictal? I found once I learned to love self & tackle my #PTSD triggers, #Trichotillomania episodes are non existent"
3.41774E+17,1321400012,1,"@thekillmars300 called lamictal (for anxiety) that turns out I'm allergic to also. Kicker is, they both can cause SJS. I never had a chance."
3.27264E+17,1367532704,0,@thinprettybones not everyone gains wt when they quit. Some meds that help you quit (Zyban & Nicotine lozenge) prevent wt gain.#quitsmoking
3.49506E+17,339220082,0,"@tiredlegs ...to be in a good routine. Also Seroquel are a funny shape, and that reduces the risks of drug errors on my part. The last lot.."
3.49506E+17,339220082,0,"@tiredlegs I want branded Seroquel. I feel that different brands of XL have different release speeds, and that doesn't help my attempts..."
3.33709E+17,20731411,0,"@toddgordontrade Tetanus shots r good for 10 years. Metal through rubber shoe- need a good cleaning, possibly Cipro to prevent infection."
3.44583E+17,24938910,0,"@tramonby Enbrel is a biologic, a drug used to treat RA. It works by reducing active Tumor Necrosis Factor (TNF), which > inflammation."
3.46611E+17,1081655209,0,@trishwesley No just going to continue taking my Cipro which helps alleviate some of the pain until I see the neurologist the 25th
3.45508E+17,221248191,0,"@TweetNomDePlume @jessovenden hello both, Iâ€™m on 25mg Seroquel which I take in the mornings. I love a stoned morning. :)"
3.40558E+17,254172328,0,@UberFacts: Bananas contain a natural chemical that can make a person happy - The same chemical found in Prozac.-I coulda had bananas?
3.33585E+17,271470336,0,"@USHEMP Very generalized thinking. I'm on Xanax & Cymbalta, does that make me dangerous? No, it does not. Sounds like sensationalism to me."
3.33008E+17,11610082,0,"@walkbythesea Wellbutrin doesn't seem to be cutting it anymore, so I'm transitioning to Cymbalta."
3.42029E+17,18759607,0,"@weird_prophet Only if I can blame Lamictal, Prozac and Klonopin for all of my tweets."
3.42184E+17,335304091,0,"@wenbellings prescription, I have zoplicone, nice and gentle but work. I have Zometa to keep the bones strong and control the tumours"
3.33723E+17,1217130098,1,@weswroten @bullfrogr wow Paxil sent me into a huge hypo manic mixed episode.
3.46774E+17,175079011,0,"@weswroten Bipolar, major depression. Also, he's on quetiapine because sometimes he sees and hears things."
3.4025E+17,508307233,0,@WHUDEY sounds like someone forgot their Prozac again.
3.32156E+17,537455918,0,@wildjacques I've got some Prozac lol
3.32455E+17,193278438,0,@willentrekin I had a physician comment it would be better for my seizures if I lived in a medical m. state instead of the lamictal.
3.45045E+17,1289739228,0,@wmywifi I'm so in thar right now I need cymbalta
3.40257E+17,109336603,0,@YesterdaysKid And how does it help? If they r addicted to nicotine (sp?)
3.40555E+17,350559938,0,@Yo_LoLoLo â€œ@UberFacts: Bananas contain a natural chemical that can make a person happy - The same chemical found in Prozac.â€
3.44205E+17,445818260,0,@zoeharcombe Did you see Dispatches in C4 tonight about Victoza / GLP1 drugs re pancreatitis and pancreatic cancer?
3.43233E+17,97567146,0,"06.07 on top of everything else, I'm getting a summer cold, sneezing and blocked but runny nose. Some medications interact with Rivaroxaban."
3.52668E+17,627493130,0,17 of the top 20 prescribers of the blood pressure drug Bystolic have received speaking fees from its maker.http://propub.ca/11WKC50Â 
3.50061E+17,1329108505,0,17 of the top 20 prescribers of the blood pressure drug Bystolic have received speaking fees from its maker.http://propub.ca/11WKC50Â 
3.42437E+17,31079319,0,"â€œ@_CollegeHumor_: Adderall in the am, Ambien at night, vodka in the water bottleâ€ Me: Vyvanse in the AM, GHB at night, Adderall all day"
3.45929E+17,235602557,0,"â€œ@ASAP_Staph: because im 17, compose my own beats. lyrically im dope enough to assfuck the dude who made nicotineâ€who tf is"
3.40552E+17,289800860,0,â€œ@DickyChesworth: @marknolan70 @jasonbrooks68 We are screwed thenâ€ my mum must have been on Prozac lol
3.33392E+17,133095064,0,â€œ@FadeKidd17: Depressed.â€ Cymbalta ?
3.49198E+17,316909345,0,â€œ@JakeInRealLife: *batman voice* do you have a lozengeâ€ @lakyn_presler You're gonna miss me
3.40953E+17,184501256,0,â€œ@James_noSemaj: @MzWatts_LVN me toooooooo! I need some Cymbalta nowâ€
