Column1,Column2,Column3,Column4
3.49848E+17,19110437,victoza-51cacde153785f584a9ac554,@DiabetesUK bit of advise please. I've stopped Gliclazide but still taking Metformin & Victoza. Do I need to notify DVLA & ins co? Thanks
3.50499E+17,64986227,alendronate-51cd2b9253785f584a9ad2d3,@doctorcaldwell alendronate works in elderly. Intended benefits are relevant. Issues are compliance/tolerability and life expectancy> 1 yr
3.43681E+17,577983043,humira-51b45d935378b9555a2f0a76,@DoctorChristian I think some people will try anything sometimes! I have with my severe psoriasis!finally awaiting Humira injection anydayx
3.32241E+17,69772809,trazodone-518abf49ac6a942006b3f03b,@DrOz i take Trazodone for my #insomina & still have a hard time falling asleep or I end up having crazy dreams that wake me up!?! #OzSleep
3.49716E+17,50898361,humira-51ca51ee53785f584a9ac2ee,@dsymons @trainingwithra @lisabinkc my husband gives me my humira injections. We use the pens. It hurts too bad to give them to myself.
3.42009E+17,1207721366,lozenge-51ae47ff5378f924d02ef94d,"@eddo75 ...I may just at this gentle, gentle man for a while, soothing, like a big gay lozenge...pic.twitter.com/Zuce0xgwtp"
3.46692E+17,984294302,lozenge-51bf519b5378b9555a2f403f,@EquineJournal neue schule trans-angle lozenge every time
3.4424E+17,473179284,dabigatran-51b6668c5378b9555a2f1389,@ETtube @HeatherM211 Not sure I follow. Are you encouraging antiplatelet use with dabigatran?
3.40452E+17,600981465,cipro-51a89de253787e40790df048,@evann_lfc yea still a vampire as still on cipro wbu? Xx
3.48829E+17,28177191,enbrel-51c7179153785f584a9aa8ca,@FashonButterfly Enbrel has a great support system and helps with my enormous copays!!!
3.48828E+17,28177191,enbrel-51c7175e53785f584a9aa8c9,@FashonButterfly I have a friend on that with Lupus and she is doing well. Everybody is different though. Maybe you shud try Enbrel.
3.48453E+17,1007575374,seroquel-51c5b9f253785f584a9a9908,"@FearLoathingBTX V concerned about how liberally Seroquel is used for sleep, etc. Should be used with caution, if at all."
3.49252E+17,30143191,humira-51c8a25053785f584a9ab735,"@foggymelon @movmctov @The_Scottymomma when I did Humira for my Crohn's it felt like acid, hubby had to shoot me up. Made my lupus flare too"
3.42078E+17,524506171,seroquel-51ae88a15378f924d02efc2d,@fragileannie then try to knock you out at night with a little trazadone or seroquel LOL... so not right
3.36982E+17,633349475,paxil-519bfea5ac6af7f8f08011fa,"@FriarDanny I appreciate it. I gained over 30lbs with Paxil so I'm trying something different, tired of the appetite side effects."
3.5431E+17,176285385,quetiapine-51db08a253785f584a9b2124,@GangamStyleDad is that like quetiapine. when i had to take that crap i could not stay up longer than 11 hours
3.44267E+17,30019198,cymbalta-51b67f495378b9555a2f141d,"@gkygirlengineer ""Cymbalta: You're gonna like the way it..err...you look."""
3.50637E+17,1523189252,seroquel-51cdab9d53785f584a9ad59a,"@Glass1ncision It's called Seroquel Prolong (Quetiapine). Apart from the weight gain, I am actually quite happy with it."
3.45391E+17,519929106,cymbalta-51ba95c75378b9555a2f2a46,"@Glinda_R @SpooniesCouch Cymbalta withdrawal is getting top billing at the moment, however. Ugh! xx"
3.45391E+17,1187577733,cymbalta-51ba96485378b9555a2f2a4b,"@Glinda_R @SpooniesCouch Cymbalta withdrawal is getting top billing at the moment, however. Ugh! xx"
3.26777E+17,19688276,nicotrol inhaler-5176decbac6af778c203608f,@GordonAlanBeard @rtaylor_mep @janebyfield actually inhaled nicotine vapour IS studied - by Pharma - Nicotrol inhaler. Good enuff 4 them...
3.4392E+17,1362952506,cymbalta-51b53bd65378b9555a2f0dcc,"@haley_boggess: When depression hits, Cymbalta can't help tell me why this reminds me of our chapstick commercial? Omggg."
3.43603E+17,12135892,pristiq-51b414945378b9555a2f09ac,@HarryDFish @deltrimental Joe is on Pristiq and he gets weird brain zap / twitch things too.
3.44241E+17,483264456,dabigatran-51b667055378b9555a2f1392,@HeatherM211 @DavidJuurlink yup. Tho wonder if this is increased risk w/ dabigatran vs loss of protection from Coumadin.
3.42844E+17,17248031,pristiq-51b151f35378b9555a2ef8f9,@hello_nacho @tobiasampersand Lexapro gave me the worst mixed episodes. I have some instability with Pristiq but I can manage it ok.
3.32983E+17,731243232,fluoxetine-518d7281ac6ab35b4d481cd6,@HendryHannah I tried fluoxetine. It knocked me out.
3.44995E+17,47972658,humira-51b924e45378b9555a2f22e9,"@HurtBlogger good luck! Have you tried it before? Does it work 4 u? I just had 2nd dose of Humira, and hurting so bad I can't stand it :-("
3.42745E+17,19608605,vyvanse-51b0f5e45378b9555a2ef729,"@hwise29 Yikes! I can usually fight Adderall/Vyvanse dehydration with water, but it's trickier when you're drinking your stimulants."
3.32802E+17,273421529,quetiapine-518cc948ac6ab35b4d481444,"@IamCarrieeeeee what an arsehole! I'm off Quetiapine and on Lamotrigine, I'm so fucking happy* :) *hypomanic"
3.42671E+17,923840822,cipro-51b0b1475378b9555a2ef4f2,@iamhdt I need some Lysol. Maybe some Cipro.
3.4178E+17,137093363,trazodone-51ad72b85378f924d02ef219,"@Iamjoy1 yeah I know, I dont take my trazadone at night cause it makes me feel groggy in the morning and I wont wake to my alarm):"
3.44103E+17,350603832,lamictal-51b5e6fb5378b9555a2f1057,@ikimlowe my son has been on Lamictal for 3 yrs n broke out in a rash when he 1st was put on it. Luckily after going to ER it was not the SJ
3.48595E+17,161561500,zyprexa-51c63e2653785f584a9aa1b8,@Incubator04 I'm hoping that I get on the zyprexa. The GI was pretty sure it would help the nausea and I know it'll help the crazies.
3.33279E+17,323112996,cipro-518e85b8ac6ab35b4d4827b7,@IntegrateMD I sure wish my doctor had told me Cipro could disable me for life! There was never any mention of that. Now I'm crippled.
3.4199E+17,40519934,prozac-51ae36445378f924d02ef897,@IntervalThinks @newscientist Give them Prozac - not!
3.41986E+17,183937051,trazodone-51ae329a5378f924d02ef86d,"@INukeYou And then I had horrible sleep once I took the trazodone. I just couldn't win, haha."
3.41559E+17,45413679,quetiapine-51aca5b453787e40790e0c8c,@isawfireworks well I had 3 months off work at beginning of 2012 which lead to diagnosis. Since then I've taken mitazipine & quetiapine >
3.42161E+17,536919988,vyvanse-51aed5f05378f924d02eff3b,@itwasntbay yeah when I take vyvanse any food just looks/sounds/tastes fucking disgusting
3.33999E+17,12602362,cymbalta-51912415ac6ab35b4d4843ac,@JameeTMiller I didn't have side effects when I started taking Cymbalta. After about 6 mths had to stop because it raised my blood pressure.
3.40628E+17,1233034166,lozenge-51a9420d53787e40790df6da,@jameswanko *gives you a throat lozenge*
3.4831E+17,311221245,humira-51c534b853785f584a9a92d5,@jaygascoigne that med didn't help me. I'm on Humira. It works great. With surgery & humira been in remission 5-6yrs.
3.42233E+17,616994833,quetiapine-51af18a65378f924d02f013e,@jelizap Tried lithium & depakote been reading up on Lamotrigine it was suggested but had such nightmare with Quetiapine was scared to try
3.53493E+17,631357943,quetiapine-51d80ff453785f584a9b150f,@JennNiff I didn't take a zopiclone in the end.. but I'm third day of no quetiapine & I'm eating incredibly differently!
3.42985E+17,373577359,seroquel-51b1d4dd5378b9555a2efc79,"@JessBarrett227 Taking someone off 150mg off Seroquel, mixing it with Olanzapine in 2 wks causes psychosis - a proper assess was not done."
3.32779E+17,24377539,fluoxetine-518cb3c0ac6ab35b4d481361,"@jessindia I take fluoxetine and quetiapine. The quetiapine is the one with the massive sleepies, althouth the flouxetine doesn''t help."
3.45505E+17,304889400,seroquel-51bb00705378b9555a2f2c92,"@jessovenden No more SSRIâ€™s for me. They kept giving me manic reactions, usually angry. The Seroquel has me feeling too tired. Itâ€™s brutal"
3.41903E+17,815448026,enbrel-51ade60e5378f924d02ef547,@Joanne__Howe I'm good been on 25mg MTX for years then switched to leflunomide back MTX the other caused tummy trouble. Why r u off Enbrel
3.46003E+17,257677717,lozenge-51bccfea5378b9555a2f3565,"@jodidaubs @SassyJP10 he is from Fleetwood, Lancashire. Also the place where the Fisherman's Friends lozenge originated #fleetwoodfac....t"
3.36983E+17,190378852,quetiapine-519bff2dac6af7f8f08011fc,@joedeens @nurse_w_glasses @tinabaker21 @quetiapinefella @nevharvey surely having an addiction to nicotine is an excuse for smoking?
3.48147E+17,22513648,effexor-51c49c9553785f584a9a8f55,"@Jonny_Wags @Hey_Jeffrey Realtalk: until I started taking Wellbutrin, Effexor robbed me of the ability to cum"
3.48145E+17,22513648,effexor-51c49aed53785f584a9a8f3c,@Jonny_Wags @Hey_Jeffrey Wellbutrin did a pretty good job canceling out the side effects of Effexor back when I was on both.
3.46415E+17,81338346,lozenge-51be50065378b9555a2f3b23,"@JordanaaW @im_justafangirl thought you would, lozenge's already seen it i sent her it earlier thru snapchat"
3.40475E+17,77977086,effexor-51a8b36953787e40790df10f,@juntei My old ones took 2 days for withdrawals but Effexor which I'm on now I will get them the next day :/ I wish I could email you valium
3.32451E+17,1300182944,olanzapine-518b8256ac6ab35b4d480250,"@KarimS3D Olanzapine actually makes you put on weight, even when you aren't eating that much"
3.31163E+17,29436779,venlafaxine-5186d2e5ac6a942006b3bbb9,@kastel na G my 5HT levels are good just need a dopamine rush gonna pop me a Bupropion or a Venlafaxine. Want some yeh
3.54428E+17,115545836,olanzapine-51db76af53785f584a9b237f,"@katharine_t yeah, mum stuff, just frustrated :) i took olanzapine and wrote everything out and m falling asleep, i'll be fine! Thanks bb Xx"
3.32848E+17,720908000,tysabri-518cf4b3ac6ab35b4d481623,@Katie_Woodman fingers crossed I have been taken off tysabri because my body is resisting it ha typical hope you are doing ok :)
3.4953E+17,52336342,tysabri-51c9a50753785f584a9abf60,@keep__smyelin yes they insert a port for the infusion with Tysabri. I did it yesterday for the 49th time. It's just a small sting.
3.49174E+17,19032229,victoza-51c8592e53785f584a9ab43d,"@KellyRawlings so interesting!! Any mention of meds like Symlin, victoza and their impact on lag times, post meal hypers?"
3.33728E+17,112532974,cipro-519027cdac6ab35b4d4837c9,"@kevinmd Even w the best care a patient can die from Avandia, Vioxx, get kidney failure from Cipro or commit suicide on new antidepressants"
3.42449E+17,1460971,tysabri-51afe2475378b9555a2ef048,@Kirkby007 I had a gene test for Tysabri I guess it can cause a fatal brain disorder. My chances are low.. But that crap is creepy.
3.50266E+17,18998891,victoza-51cc525d53785f584a9ace2a,"@lanes0220 Guess I don't know her table of brands ... Ham, cream cheese, Victoza, Caesar's, Food Network. Which ones are sticking?"
3.53829E+17,323112996,floxin-51d9487353785f584a9b198b,"@LeahIce @britlee_harp Cipro can do a lot worse than that! Google ""floxing"" or ""Cipro poisoning"" or ""fluoroquinolone toxicity syndrome""."
3.42499E+17,21068577,namenda-51b010bb5378b9555a2ef1a0,@lindzburk I feel that way after being on Namenda.
3.46243E+17,323112996,cipro-51bdaf275378b9555a2f3804,@LISABROWNPHOTOS Consider yourself lucky if all it does is make you dizzy and sick! Cipro crippled me and countless others.
3.41263E+17,450695228,olanzapine-51ab913c53787e40790e05bc,"@LithiumLibGirl I'm sure it helps that you are so active. I did eventually lose my olanzapine lbs, so there is hope. :)"
3.33709E+17,21719350,cymbalta-51901635ac6ab35b4d483729,@liver_bird_87 @MizTinkerbella when I was on cymbalta and visanne I could not orgasm at all!!!
3.40259E+17,453151042,nicotine-51a7eada53787e40790deacf,@LukeHedgecutter i cant sleep im having a well bad nicotine craving
3.36971E+17,37536593,venlafaxine-519bf4c5ac6af7f8f08011b7,"@lynnbett Off Venlafaxine which was pure hell for me, I can't switch these meds anymore, tired of feeling like shit all day."
3.33675E+17,36100296,paroxetine-518ff6daac6ab35b4d483604,"@Marcello I had to take Paroxetine tablets for a year nd a side effect is weight gain, it went to my core. Off them now bt can't shift it!"
3.30391E+17,1289310714,fluoxetine-518403fcac6a942006b395e1,"@marg1nal @lobeline - In my case, thank GOD for Fluoxetine. I'd be dead or in prison without it."
3.31819E+17,80900653,fluoxetine-51893694ac6a942006b3dd43,"@mavisMacCruet Mavis, may I recommend 60mg of fluoxetine daily to help with your obsessive compulsive disorder?? #McCann"
3.31004E+17,14856861,fluoxetine-51863f90ac6a942006b3abaa,"@MerePrototype Probably the combination with my fluoxetine. But I can't move that to night time, it makes me have bad dreams."
3.52145E+17,27486225,lamictal-51d3283853785f584a9afb4e,"@Milynda lamictal makes you sleepy at night, but I take it around 10 or so. Once you get in the system, you start falling asleep normally."
3.49723E+17,28094698,humira-51ca58c153785f584a9ac321,@mizbergy that's the hardest part: difficult to willingly self-inflict pain. #Humira #rheum
3.40545E+17,17195280,prozac-51a8f49b53787e40790df357,@mocoddle We should just add prozac to the water supply. Problem solved!
3.33287E+17,137118909,venlafaxine-518e8d1fac6ab35b4d48281e,"@MondaysMomma It's ok, I guess it's just a case of trial and error with antidepressants. Coming off venlafaxine has been so nasty :("
3.40328E+17,494325849,paroxetine-51a82b2053787e40790ded1b,"@mrnick was getting out of control. I had no idea that coming off it would be so awful. Other than Paroxetine, I thought SSRIs were easy"
3.32088E+17,424940769,zoledronic acid-518a304fac6a942006b3e955,@msjuju8 @Loveont0ast @surrealbutok @ThatBloke7 @bron_two Bugger U made me look at meds 2 take. 30/1/14 Im due for shot of Zoledronic acid:)
3.49043E+17,32268015,seroquel-51c7df1253785f584a9ab032,@NerdyLori good thing for low dose seroquel!! friends bro was UBER awkward. also a little awkward to work around a guy on team who likes me
3.42024E+17,14327715,prozac-51ae568d5378f924d02efa03,"@neurobonkers also, ""meth mouth"" is really poverty mouth. u don't c when people take it for ADHD. nor in Prozac, which similarly dries mouth"
3.46483E+17,15066578,ofloxacin-51be8ef55378b9555a2f3d02,@nicoledvm Was doing ofloxacin q3 hours first day now q6 hrsâ€¦ has responded.
3.42161E+17,747412075,vyvanse-51aed5bb5378f924d02eff34,@nikkimarieeeee lucky bitch i took vyvanse today as it makes me not eat i just wanna be able to wanna eat ugh
3.51197E+17,1140424723,tysabri-51cfb53f53785f584a9ae23a,"@nobleday medications like copaxone rebif, gilenya or tysabri wouldn't be here today without it"
3.48412E+17,28344264,fluoxetine-51c5939c53785f584a9a94f9,"@notquitereal Oh, really? That's what gave me the terrible reaction. My current doctor told me he'd almost never prescribe fluoxetine."
3.48414E+17,28344264,fluoxetine-51c5957253785f584a9a9501,"@notquitereal yeah, I mean, fluoxetine made me feel like shit, and citalopram makes me feel ace, so worth considering if you ever have to"
3.4558E+17,977449884,seroquel-51bb45f15378b9555a2f2e6b,@ObsidianVormund Was on Seroquel for years in my teens & stopped taking it. A 'quack' doc put me back on it & I gained 50 in 3 months.
3.40529E+17,180001747,prozac-51a8e5fd53787e40790df2e1,@OfficialEvix 1 Prozac a day
3.41753E+17,144504221,effexor-51ad59785378f924d02ef143,"@opium_district I've been having them today too, three days without effexor. I completely understand what you mean. every hit, lightheaded.."
3.40297E+17,390779160,nicotine-51a80e3a53787e40790dec3b,"@paribes OfCourse it does!! Nicotine firstly kills your creativity! And most of the youths smoking,taking tobacco are found less creative!"
3.49173E+17,112335525,lozenge-51c858ae53785f584a9ab434,"@pb_reader Internal is internal *shrugs*(= Now, if it had been a lozenge, that would be different. #JustPlayOneOnTV"
3.52182E+17,90511445,olanzapine-51d34a7a53785f584a9afc60,"@Pete__Bull elderly, diabetic on olanzapine= raging bm's, mood swings and weight gain...cons may outweigh the pros.."
3.52808E+17,107429408,paxil-51d5916053785f584a9b0aff,@Poet_Carl_Watts @Yueesei ... used to be on them #justaddanother ...worst was the psychotic episode when starting #paxil but one of my favs
3.41996E+17,472475366,seroquel-51ae3c9c5378f924d02ef8da,"@PreciousThing I just had a look buddy, and my medication (Seroquel) does affect tolerance to the sun."
3.52543E+17,8264122,paroxetine-51d49afc53785f584a9b03cc,@PrinceHerb I had paroxetine for a few weeks once... apparently I started behaving oddly so they took me off it and put me on Sertraline
3.47901E+17,1382723923,seroquel-51c3b83253785f584a9a8ae2,@Privacy625 @sandycolon25 the Seroquel is addictive a d they deny it.
3.26665E+17,23315993,quetiapine-51767682ac6a202953c770ad,"@pseudodeviant i clock in at 16 stone (added 1 stone since quetiapine) and according to that BMI thing I'm obese, which I'm clearly not."
3.52678E+17,358508671,cymbalta-51d5185253785f584a9b0783,@pueblokc Cymbalta sounds like the princess in an 80's computer game.
3.48854E+17,87470849,lozenge-51c72fb053785f584a9aa9d0,@radioheadlyrics 'I won't be around...when you really need me.' Lozenge of Love - one of my favorite #Radiohead songs.
3.45389E+17,261734989,trazodone-51ba93d95378b9555a2f2a33,@RADxRadio This made me laugh. Trazodone here. Sweet dreams! ;)
3.5139E+17,324601283,enbrel-51d068a453785f584a9ae507,"@rawarrior have had no response on double and triple treatments. Have exhausted humors, enbrel, and now on this. Recently taken out of work"
3.50112E+17,794943356,boniva-51cbc2ea53785f584a9acaed,@rayFierce_ like Sally field says... we have this one body and this one life. Take boniva
3.44189E+17,21302218,olanzapine-51b636c35378b9555a2f123f,@RealTaniceJugde olanzapine dreams are the best kind...
3.46419E+17,1338597000,quetiapine-51be53425378b9555a2f3b31,@redbuttongirl combining them with the quetiapine makes me hallucinate :/
3.34024E+17,106099582,cipro-51913bf5ac6ad74cd505f133,"@remiamaka It wasn't an easy victory though. Felt like chemo with the Cipro. As for the heart, i meant for study purposes."
3.45334E+17,367655471,paxil-51ba610e5378b9555a2f2939,@ReneeLiedig Hi idk who you are but I just wanted to let you know I gained over 20 lbs on Paxil. Be watchful.
3.32988E+17,85811110,paxil-518d7710ac6ab35b4d481d0f,@RipnerCabbit @pacerfox Ugh. My partner was on Paxil for a while. It made him hide in the apartment. :/
3.33961E+17,19024894,seroquel-5191013fac6ab35b4d48418d,@Rowlegendary r u on any meds? my dreams on seroquel are fucked up
3.40302E+17,125837098,nicotine-51a8123253787e40790dec54,@ryanfarias24 they have .06 nicotine content and did u see the new jerseys ?
3.43355E+17,9957512,viibryd-51b32dc95378b9555a2f0524,@sam_dietrich just had the Viibryd vision shake thing again very cool
3.31084E+17,19540826,fluoxetine-518689ebac6a942006b3b2dc,"@SamAmbreen doesn't work. Citilopram then fluoxetine before, bothe did nothing for my mood but made me vomit so much I lost 4 stone in 6mo."
3.31071E+17,19540826,venlafaxine-51867d96ac6a942006b3b18a,@SamAmbreen venlafaxine definitely does mine. Also makes me need 15 hours sleep a day. Hence now unmediated & rollercoastery.
3.4447E+17,47189853,humira-51b73ce15378b9555a2f1755,"@sapphire20 to it, and now I'm on Humira with just the bloat to battle. Things sometimes get super shitty in every sense. But stay strong xx"
3.45656E+17,1351058880,humira-51bb8ca55378b9555a2f305d,@sarahchoueiry @crohns_twins i also have nuasea and low grade temp and on #humira should i go check it out??
3.41994E+17,58303030,prozac-51ae3ace5378f924d02ef8c8,"@saschel for a moment i read ""knee deep in prozac"", but nothing to worry about i reckon"
3.42776E+17,39778812,duloxetine-51b112975378b9555a2ef7bf,@scrabalisios I hav to come of the duloxetine immediately as I hav a terrible rash because of it! Had the rash 2 weeks
3.48094E+17,39778812,tysabri-51c46bd053785f584a9a8e82,@scrabalisios yes I have been for my tysabri this morning and now lazing on the sofa :( kids are going to the outlaws for the weekend :)
3.29317E+17,777784225,paroxetine-51801bebac6af778c2040066,"@Sectioned_ @bipolarlife7 @BBCWomansHour ah yes, I'm starting to think my paroxetine turns panic attacks into fat."
3.29698E+17,1213105958,venlafaxine-51817eb8ac6a942006b37753,@Sectioned_ @HilaryMarmot POOR THINGS! They wanna try withdrawal from venlafaxine. Think I might sue the Pharma Company.
3.32117E+17,50105111,prozac-518a4baeac6a942006b3ea7b,@SenSanders @deniseromano @BarackObama calm down Burnie time to take Prozac
3.49085E+17,135627441,humira-51c8067153785f584a9ab1b4,"@Shellyfanelly I was on #azathioprine for about 8 years, it worked well, now on #Humira instead though which is knocking me about"
3.45242E+17,320440672,cipro-51ba0af35378b9555a2f2722,@ShipMom Cipro is awful makes me sick as a dog too
3.4755E+17,20572355,humira-51c2708453785f584a9a828f,@SKDNY humira starting to help at all?
3.41948E+17,90304006,vyvanse-51ae0f655378f924d02ef6dc,@skernandez because I realized Vyvanse after a certain time of taking it increased my anxiety and made me more irrational.
3.29589E+17,484999413,fluoxetine-518119a7ac6af778c2041a61,@skinny_the_minx I'm on fluoxetine. Hm :( hope you feel better soon lovely!! Have you got quite a stressful job? X
3.46638E+17,138795534,humira-51bf21225378b9555a2f3f0b,"@SKRDad it's all about the long view, right? Humira has side effects for a few days, but totally worth it!"
